"N","Timestamp","Pais","Código de participante","Ud es:","1. Entregaría recomendaciones de higiene oral a pacientes adultos","2. Entregaría recomendaciones de higiene oral a pacientes adultos","3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?","4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?","5. ¿Cómo entregaría sus consejos en higiene oral?","6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?","7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?","8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.d) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cepillar diariamente?","8.e) Cuando recomienda el cepillado dental, ¿cuánto tiempo recomendaría usted para cepillar?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?","9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?","10.a) Cuando recomienda pasta dental, ¿recomendaría usted un tipo de pasta dental?","10.b) Cuando recomienda pasta dental, ¿cual concentración de pasta dental recomendaría?","10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","10.d) Cuando recomienda pasta dental, ¿que tipo de enjuage recomendaría?","11. ¿Recomendaría limpieza interdental a todos los pacientes adultos?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?","12.b) Cuando recomienda la limpieza interdental, ¿cada cuanto recomienda utilizarlo?","12.c) Cuando recomienda la limpieza interdental, ¿demostraría una técnica ?","Año de egreso de pregrado:","gadi kops beigsanas","Año egreso higienistas","Curso actual","Curso higienistas"," 13. La higiene oral juega un rol causal en muchas enfermedades orales."," 14. La persona promedio de mi país tiene buena salud oral."," 15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral."," 16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos."," 17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes."," 18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes."," 19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo."," 20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos."," 21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico."," 22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.","23. En promedio, ¿cuantas clases, prácticos, conferencias, seminarios o tutorías ha tenido en consejos de higiene oral para los pacientes?","24. ¿Siente que ha tenido suficiente formación en este aspecto de la atención al paciente y la prevención de enfermedades?","25. En su opinión ¿qué formación adicional siente que es necesaria?","26. ¿Se siente seguro/a en la actualidad entregando recomendaciones de higiene oral a pacientes adultos?","27. ¿ Se siente seguro/a en la actualidad de ser capaz de modificar la higiene oral aconsejando a una persona?","28. Si su respuesta es “No” a las preguntas 26. y 27  ¿por qué?","Comentarios de respondente"
1,"08/11/14 08:02","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal","No","Si","manual","no recomendaría","1-3 meses",2,3,"no recomendaría","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","Si","ambos","depende del necesidad","Si",1984,30,,,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","0-4","Si","Clases teóricas","Si","Si",,"Parasti  pat neiesaku nevienu zobu pastu, jo pati nezinu, kura būtu tā labākā. Katra firma slavē savu. Iesaku tīrīt ar to, kura patīk un kura ir pa kabatai. Labi, ka tīra vispār un par to jau ir liels prieks. Īpaši parunājam par zobu pastām  smaganām . Tur tā informācija, kā izrādās, nav tik liela. Arī par zobu sukām. Iesakām tās, kuras pašiem patīk. (visas jau tāpat neizmēģināsi)."
1,"08/11/14 13:57","Letonia",,"Estudiante","cuando usted sienta que es necesario","ocasionalmente","No","1-2 minutos","Comunicación verbal, Demostraciones","No","Si","no recomendaría","pequeño","3 meses",2,"2-3","Stillman modificada (sin saber nombre)","Si","con fluor","1000-1500","no recomendaría","no recomendaría","Si","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","5-9","Si","Demostraciones prácticas","Si","No","Falta de conocimiento, Falta de experiencia",
1,"08/11/14 14:31","Letonia",,"Dentista","cuando usted sienta que es necesario","en la primera y última cita del plan de tratamiento","Si","5 minutos","Demostraciones","Si","Si","manual","no recomendaría","3 meses","2-3",3,"no recomendaría","Si","con fluor","no recomendaría","no recomendaría","enjuagar la pasta de dientes con agua","Si","hilo dental","1-2 veces al día","Si",2006,8,,,,"Muy de acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"08/11/14 15:12","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","5 minutos","Comunicación verbal","No","Si","manual","pequeño","3-6 meses",2,"3-5","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","enjuagar la pasta de dientes con agua","No","ambos","1 vez al día","No",1982,32,,,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"08/11/14 19:30","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","pequeño","3-6 meses",2,"recomendaría","Stillman modificada (sin saber nombre)","Si","con fluor","no recomendaría","tamaño arveja ","parcialmente","Si","ambos","2 veces al día","Si",2006,8,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","10-19","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"08/12/14 02:48","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","No","8 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",2,3,"Vertical","Si","con fluor","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","Al menos 1 vez al día","Si",1986,28,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas","Si","Si",,"Lai veicas!"
1,"08/12/14 03:00","Letonia",,"Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","en la última cita del plan de tratamiento","No","1-2 minutos","Comunicación verbal, Demostraciones","Si","Si","no recomendaría","medio","1-3 meses",2,"3-5","recomendaría","Si","con fluor","no recomendaría","recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","ambos","no recomendaría","Si",1989,25,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","0-4","Si","Clases teóricas, Experiencia con pacientes propios","Si","Si",,
1,"08/12/14 03:50","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","Si","Si","eléctrico","medio","3 meses",2,"3-5","recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","ambos","2-3 veces a la semana","Si",1987,27,,,,"Muy de acuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"08/12/14 04:57","Letonia",,"Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","ocasionalmente","No","5 minutos","Comunicación verbal","Si","Si","manual","no recomendaría","3 meses",2,3,"recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","parcialmente","Si","hilo dental","después de cada comida","No",1983,31,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo",,"De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",,"5-9","Si","Clases teóricas","Si","Si",,
1,"08/12/14 06:22","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","1-3 meses",2,"3-5","recomendaría","Si","con fluor","no recomendaría","muy poco, poco","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","Si",1986,28,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","20 y más","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,"Vajadzētu vairāk apmācībā diētas ieteikumus mutes veselības uzlabošanā. Ja nemainīsies pašu cilvēku attieksme pret zobu higiēnu un , galvenais diētu, nekas nemainīsies."
1,"08/12/14 08:02","Letonia",,"Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","ocasionalmente","No","1-2 minutos","Comunicación verbal","No","Si","manual","medio","3 meses",2,3,"no recomendaría","Si","no recomendaría","no recomendaría","no recomendaría","enjuagar la pasta de dientes con agua","Si","hilo dental","no recomendaría","Si",1980,34,,,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","5-9","No","Demostraciones prácticas","No","No","Falta de enseñanza",
1,"08/12/14 08:45","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","5 minutos","Comunicación verbal","No","Si","manual","medio","3 meses",2,2,"Stillman modificada (sin saber nombre)","Si","con fluor","no recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",1996,18,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","0-4","Si","Clases teóricas","Si","Si",,"Paldies par aptauja,tas liecina ka jums interesē mutes higiēnas stavoklis Latvijā."
1,"08/12/14 11:59","Letonia",,"Dentista","cuando usted sienta que es necesario","en la primera y última cita del plan de tratamiento",,"5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3 meses",2,"5 - 10","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","parcialmente","Si","ambos","no recomendaría","Si",1983,31,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",,"Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"08/12/14 12:16","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","1-2 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","medio","3 meses",2,3,"recomendaría","Si","con fluor","no recomendaría","recomendaría","no recomendaría","No","ambos","Al menos 1 vez al día","Si",1993,21,,,,"Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","10-19","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,"Profilaksei un higiēnai mutes dobumā būtiska loma veselības uzlabošanā."
1,"08/12/14 14:18","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Demostraciones","No","Si","eléctrico","pequeño","3 meses",2,"no recomendaría","recomendaría","Si","con fluor","1000-1500","no recomendaría","no recomendaría","Si","ambos","1-2 veces al día","Si",1986,28,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Experiencia con pacientes propios","Si","Si",,"Pacientiem bez F saturošām zobu pastām mēdz būt nepieciešamas arī antibakteriālās pastas smaganu slimību gadījumā."
1,"08/12/14 15:44","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","pequeño","3 meses",2,"2-3","recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","parcialmente","Si","ambos","con cada cepillado ","Si",1999,15,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,"lai veicas"
1,"08/12/14 17:08","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","Si","Si","manual","pequeño","3 meses",3,"3-5","Solo technique","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","ambos","2 veces al día","Si",2002,12,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"8/13/2014 2:22:34","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3-6 meses",1,1,"recomendaría","Si","con fluor","no recomendaría","muy poco, poco","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",1988,26,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"8/13/2014 4:03:56","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","no recomendaría","pequeño","3 meses",2,2,"recomendaría","Si","no recomendaría","no recomendaría","muy poco, poco","no recomendaría","Si","ambos","2 veces al día","Si",1996,18,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo",,,"De acuerdo","De acuerdo","De acuerdo",,"De acuerdo",,,,"Si","Si",,
1,"8/13/2014 4:52:40","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","No","1-2 minutos","Comunicación verbal","Si","Si","manual","medio","3 meses",2,"no recomendaría","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","enjuagar la pasta de dientes con agua","Si","hilo dental","no recomendaría","Si",1982,32,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","0-4","Si","Demostraciones prácticas","Si","Si",,
1,"8/13/2014 5:49:09","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones","No","Si","no recomendaría","pequeño","no recomendaría",2,2,"no recomendaría","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",2012,2,,,,"Muy de acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas","Si","No","Falta de enseñanza",
1,"8/13/2014 8:51:18","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","medio","1-3 meses",2,3,"Stillman modificada (sin saber nombre)","Si","con fluor","no recomendaría","no recomendaría","parcialmente","Si","ambos","2 veces al día","Si",1975,39,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","10-19","Si","Clases teóricas","Si","Si",,
1,"8/13/2014 9:56:02","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","nunca","No","10 minutos o más","Comunicación verbal, Instrucciones escritas","Si","Si","manual","pequeño","3 meses",2,3,"no recomendaría","Si","con fluor","1000-1500","no recomendaría","enjuagar la pasta de dientes con agua","Si","hilo dental","2 veces al día","Si",1995,19,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"8/14/2014 2:02:45","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","medio","1-3 meses",2,"3-5","no recomendaría","Si","con fluor","no recomendaría","no recomendaría","no recomendaría",,"no recomendaría","no recomendaría","Si",1986,28,,,,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","20 y más","Si","Clases teóricas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,"spasibo"
1,"8/14/2014 3:54:20","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3-6 meses",2,"3-5","cepillado rotacional","Si","con fluor","1000-1500","no recomendaría","no recomendaría","Si","hilo dental","Al menos 1 vez cada dos días","Si",2013,1,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"8/14/2014 6:21:15","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","pequeño","3 meses",2,3,"recomendaría","Si","con fluor","1000-1500","tamaño arveja ","parcialmente","Si","ambos","Al menos 1 vez al día","Si",1993,21,,,,"Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","20 y más","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"8/14/2014 13:35:16","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","5 minutos","Demostraciones","No","Si","manual","pequeño","3 meses",2,2,"no recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","Si",1996,18,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Demostraciones prácticas","Si","Si",,
1,"8/14/2014 16:42:09","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","medio","3-6 meses",2,"3-5","cepillado rotacional","Si","con fluor","no recomendaría","mas que tamaño arveja, menos que 1/2 cabeza","no recomendaría","Si","hilo dental","1 vez al día","Si",1990,24,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","De acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"8/15/2014 9:37:39","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","No","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas","No","No","manual","medio","3 meses",2,3,"Stillman modificada (sin saber nombre)","No","con fluor","1000-1500","tamaño arveja ","parcialmente","No","ambos","1 vez al día","Si",2010,4,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","20 y más","Si","Experiencia con pacientes propios","Si","Si",,
1,"8/18/2014 9:31:32","Letonia",,"Dentista","cuando usted sienta que es necesario","en la primera cita del plan de tratamiento","No","1-2 minutos","Comunicación verbal, Instrucciones escritas","Si","Si","no recomendaría","no recomendaría","3 meses",2,2,"no recomendaría","Si","con fluor","no recomendaría","tamaño arveja ","no recomendaría","Si","hilo dental","1 vez al día","No",2012,2,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"8/18/2014 14:34:45","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","No","1-2 minutos","Comunicación verbal","Si","Si","eléctrico","pequeño","3 meses",2,"2-3","no recomendaría","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","hilo dental","1 vez al día","Si",1999,15,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"8/18/2014 14:59:01","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","No","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3 meses",2,3,"no recomendaría","Si","con fluor","1000-1500","no recomendaría","parcialmente","Si","ambos","1-2 veces al día","Si",2002,12,,,,"Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","0-4","No","Clases teóricas","No","No","Falta de enseñanza",
1,"8/18/2014 16:13:00","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","No","5 minutos","Comunicación verbal","No","Si","manual","pequeño","3 meses",2,"3-5","recomendaría","Si","con fluor","no recomendaría","no recomendaría","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","Si",1984,30,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","0-4","No","Demostraciones prácticas","No","No","Falta de conocimiento",
1,"8/18/2014 16:38:16","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",3,"3-5","recomendaría","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","ambos","2 veces al día","Si",1977,37,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Experiencia con pacientes propios","Si","Si",,
1,"8/18/2014 23:51:27","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Videos","No","Si","no recomendaría","no recomendaría","3-6 meses",2,3,"no recomendaría","Si","con fluor","no recomendaría","1/2 cabeza del cepillo","escupir la pasta de dientes, pero no enjuagar","Si","ambos","depende del necesidad","Si",1995,19,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","20 y más","No","Clases teóricas","Si","Si",,
1,"8/19/2014 1:17:48","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","no recomendaría","no recomendaría","3-6 meses",2,"no recomendaría","clasico","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","Si","ambos","1 vez al día","Si",1998,16,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","10-19","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"8/19/2014 1:50:53","Letonia",,"Dentista","cuando usted sienta que es necesario","en la primera y última cita del plan de tratamiento","No","5 minutos","Comunicación verbal","No","Si","manual","pequeño","3-6 meses",2,2,"Vertical","Si","con fluor","no recomendaría","tamaño arveja ","no recomendaría","Si","ambos","1 vez al día","Si",1985,29,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","10-19","No","Clases teóricas, Demostraciones prácticas","No","No","Falta de enseñanza, Falta de conocimiento",
1,"8/19/2014 1:52:15","Letonia",,"Dentista","cuando usted sienta que es necesario","ocasionalmente","No","5 minutos","Comunicación verbal, Demostraciones","Si","Si","no recomendaría","medio","3 meses",2,3,"cepillado rotacional","Si","con fluor","1000-1500","tamaño arveja ","parcialmente","Si","ambos","no recomendaría","Si",1982,32,,,,"Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","5-9",,"Clases teóricas, Demostraciones prácticas","No","No","Falta de enseñanza","Jautājumi vairāk domāti higiēnistiem. Arsta praksē nav laika ar katru pacientu runāt par higiēnu. Problemātiskos pacientus vairāk sūtam pie higiēnistiem. Bet iespēju robežās runājam."
1,"8/19/2014 2:14:01","Letonia",,"Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","1-2 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","medio","3-6 meses",2,3,"no recomendaría","Si","con fluor","no recomendaría","no recomendaría","enjuagar la pasta de dientes con agua","Si","cepillos interdentales","Al menos 1 vez al día","Si",1999,15,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas","Si","Si",,
